"Title","Title_URL","Info","Content","Content1","blokobutton_URL"
"Бизнес-аналитик (проекты по автоматизации и развитию логистики)","https://ekaterinburg.hh.ru/vacancy/70146373?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Участие в проектной деятельности в качестве бизнес-аналитика. Сбор и анализ бизнес и функциональных требований. Описание процессов AS IS; как...","Высшее образование. Опыт работы не менее 3 -х лет в бизнес анализе. Будет преимуществом успешное применение гибких методологий в профессиональной...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70146373&hhtmFrom=vacancy_search_list"
"Бизнес-аналитик по производственным данным","https://ekaterinburg.hh.ru/vacancy/70457564?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Временные ряды (датчики, PLC-контроллеры). Транзакционные данные (АСУТП-системы, MES системы). Геоданные (переносные устройства, передвижная техника). Формирование требований к сбору...","Опыт работы в металлургической промышленности от 2-х лет. Понимание технологии производства стальной продукции. Понимание принципов работы производственных систем – MES...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70457564&hhtmFrom=vacancy_search_list"
"Специалист по работе с персоналом","https://ekaterinburg.hh.ru/vacancy/69474372?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Подготовка и размещение заявок на подбор персонала на работных сайтах. Оформление трудовых отношений с сотрудниками. Ведение воинского учета.","Опыт работы в управлении персоналом от 3-х лет. Высшее образование (управление персоналом, экономика труда, социология, психология). Уверенный пользователь программами...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69474372&hhtmFrom=vacancy_search_list"
"Ведущий специалист по пожарной безопасности","https://ekaterinburg.hh.ru/vacancy/70417378?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Нижний Новгород","Осуществлять контроль соблюдения в организации законодательных и иных нормативных актов по пожарной безопасности. Разрабатывать графики целевых проверок и мероприятий по...","Высшее образование (техническое; техносферная безопасность). Знание законодательства РФ в области пожарной безопасности. Навыки работы с IT программами: Word, Excel, Power...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70417378&hhtmFrom=vacancy_search_list"
"Инженер по экологическому контролю","https://ekaterinburg.hh.ru/vacancy/70417407?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Инспектирование структурных подразделений ПАО ""НЛМК"" на предмет соблюдения требований действующего экологического законодательства, нормативной и распорядительной документации, в части обращения с...","Высшее образование, профиль экология приветствуется. Знание основных производственных процессов комбината, влияющих на загрязнение окружающей среды. Знание требований локальных нормативных документов...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70417407&hhtmFrom=vacancy_search_list"
"Специалист по административной поддержке Корпоративного университета","https://ekaterinburg.hh.ru/vacancy/67814081?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Прием и обработка корреспонденции (внешней и внутренней. В том числе посредством внутренней системы ЭДО), ведение деловой переписки. Прием и распределение...","Высшее образование. Опыт работы в релевантной должности от 1-го года. Свободное владение MS Office (MS PowerPoint, MS Excel, MS...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=67814081&hhtmFrom=vacancy_search_list"
"Начальник отдела по операционной эффективности, г. Калуга","https://ekaterinburg.hh.ru/vacancy/69780367?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Калуга","Управление Программой операционной эффективности предприятия ""НЛМК-Калуга"". Управление системой КПЭ НЛМК-Калуга как основных, так и вспомогательных производств.","Высшее техническое/экономическое образование. Опыт внедрения/развития ПС (опыт применения инструментов ПС, целеполагание в части ОЭ). Cильные коммуникативные навыки.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69780367&hhtmFrom=vacancy_search_list"
"Руководитель отдела маркетинга и аналитики","https://ekaterinburg.hh.ru/vacancy/69428159?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Бюджетирование доходной части компании, ответственность за онлайн продажи. Участие в разработке проекта с точки зрения маркетинга, аналитики, моделей монетизации, проектирования...","Наличие успешных реализованных кейсов в ИТ-проектах, маркетплейсах, e-commerce проектах. Опыт построения систем веб-аналитики. Опыт работы с моделями...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69428159&hhtmFrom=vacancy_search_list"
"Главный специалист по информационным технологиям","https://ekaterinburg.hh.ru/vacancy/69783925?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Омск","Поддержание работоспособности и обслуживание ИТ систем на ферме и в офисе. ИТ обеспечение производственного процесса Молочных ферм и офиса.","Исполнительность, коммуникабельность, желание работать в команде и развиваться. Знание компьютерного железа, периферийного оборудования и оргтехники на уровне эксперта.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69783925&hhtmFrom=vacancy_search_list"
"Мастер (механик)","https://ekaterinburg.hh.ru/vacancy/69419173?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Организация и обеспечение межремонтного обслуживания оборудования. Проведение систематического надзора за эксплуатацией и состоянием оборудования, проведение внеплановых ремонтов. Организация выполнения аварийно...","Средне-специальное или высшее техническое образование. Знание дробильного и конвейерного оборудование (будет преимуществом). Знание допусков и посадок, работа измерительным инструментом...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69419173&hhtmFrom=vacancy_search_list"
