"Title","Title_URL","Info","Content","Content1","blokobutton_URL"
"Специалист (по непрерывным улучшениям)","https://ekaterinburg.hh.ru/vacancy/70158771?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Тула","Организация работы технических советов. Поддержание функционирования системы подачи инициатив. Организация мероприятий, направленных на повышение знаний в области Производственной Системы и...","Опыт работы в области управления проектами, операционной эффективности от 2-х лет . Высшее образование (техническое, экономическое). Знание и опыт применение...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70158771&hhtmFrom=vacancy_search_list"
"Руководитель направления по операционной эффективности Дивизиона Руда","https://ekaterinburg.hh.ru/vacancy/69747620?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Старый Оскол","Организация развития инструментов ПС (расширение охвата и адаптация методологии в условия горно-транспортного передела). Повышение активности и вовлеченности подразделений в...","Высшее техническое/экономическое/горное образование. Опыт внедрения/развития ПС (опыт применения инструментов ПС, целеполагание в части ОЭ). Опыт внедрения/управления...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69747620&hhtmFrom=vacancy_search_list"
"Middle C# Developer","https://ekaterinburg.hh.ru/vacancy/69805526?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Разработка, запуск, отладка сопровождение разрабатываемого решения. Оформление технической документации. Применение современных подходов и технологий. Координация процесса разработки внутри рабочей группы.","Высшее ИТ образование. Опыт самостоятельной разработки на С# .net core, asp.net mvc, react js, postgresql, ms sql, docker.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69805526&hhtmFrom=vacancy_search_list"
"Медицинская сестра/Медицинский брат","https://ekaterinburg.hh.ru/vacancy/70330037?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Старый Оскол","Выполнение лечебных и диагностических мероприятий.","Образование среднее специальное медицинское. Наличие действующего сертификата: «Сестринское дело».","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70330037&hhtmFrom=vacancy_search_list"
"Специалист по заготовке","https://ekaterinburg.hh.ru/vacancy/69965858?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Самара, Кировская","Заготовка лома в г. Самара. Работа с юр. и физ. лицами. Сопровождение договоров.","Опыт работы в заготовке лома. Знание рынка лома Самарской области.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69965858&hhtmFrom=vacancy_search_list"
"Инженер-проектировщик","https://ekaterinburg.hh.ru/vacancy/68694368?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Магнитогорск","Разработка проектной рабочей документации марок КР, КМ, КЖ, КС. Возможно марку АС. Выполнение расчетов как общей пространственной схемы (увязка КМ...","Опыт работы не менее 3 лет. Высшее образование по направлению Промышленное и гражданское строительство. Знания нормативной документации СНиП, СП, СПДС...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68694368&hhtmFrom=vacancy_search_list"
"Мастер участка - кассир на приемке лома","https://ekaterinburg.hh.ru/vacancy/70323460?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Новосибирск","Обеспечивает производственную деятельность участка ( переработка, отгрузка металлолома). Ведет приемку металлолома, взвешивает его на автомобильных весах, определяет совместно с представителем ломосдатчика...","Опыт в организации деятельности производственного участка. Образование не ниже средне-специального. Опытный пользователь ПЭВМ.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70323460&hhtmFrom=vacancy_search_list"
"Кладовщик","https://ekaterinburg.hh.ru/vacancy/70015852?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Заринск","Прием, хранение и отпуск товарно-материальных ценностей на складах. Обеспечение сохранности складируемых товарно-материальных ценностей, соблюдение режимов хранения, ведение учета...","Знание условий приема, хранения, отпуска складируемых материальных ценностей и конструкций по их учету. Знание организации учета складских складских операций, необходимой...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70015852&hhtmFrom=vacancy_search_list"
"Инженер по повышению экологической эффективности","https://ekaterinburg.hh.ru/vacancy/70215738?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Выполнение работ по анализу фактического воздействия ПАО «НЛМК» на окружающую среду по результатам проводимого мониторинга, разработке мероприятий, направленных на повышение...","Высшее образование, профиль экология приветствуется. Опыт работы по профилю не менее 3 лет. Навыки работы с IT программами: Word, Excel...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70215738&hhtmFrom=vacancy_search_list"
"Токарь","https://ekaterinburg.hh.ru/vacancy/69514093?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Работа на токарном станке: 1М-163 «гиприста». Обработка технических изделий.","Опыт работы по данной специальности от 1 года. Наличие удостоверения токаря: 5 разряд. Важно знать: конструктивные особенности и правила проверки...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69514093&hhtmFrom=vacancy_search_list"
"Fullstack developer (Python)","https://ekaterinburg.hh.ru/vacancy/68783590?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Старый Оскол","Разработка бизнес-логики и серверной части систем цифровых продуктов. Интеграция с существующими системами компании и привязка приложения к соответствующим источникам...","Опыт работы в качестве Full stack разработчика не менее 1 года. Понимание микросервисной архитектуры. Знание Python,JavaScript, Java (желательно).","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68783590&hhtmFrom=vacancy_search_list"
"Главный специалист по бизнес-аналитике","https://ekaterinburg.hh.ru/vacancy/68213735?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Воронеж","Формирование сценарных прогнозов за счет изменения цен, объемов и т.д.. Подготовка ответов на запросы государственных органов в части выручки...","Опыт работы в области финансового планирования и анализа от 3-х лет. Высшее образование (финансы, экономика). Понимание принципов расчета EBITDA...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68213735&hhtmFrom=vacancy_search_list"
"Сортировщик - сборщик лома","https://ekaterinburg.hh.ru/vacancy/69851156?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Казань","Присутствовать при выгрузке поступающего на участок металлолома. Сортировать черный и цветной лом на вверенном участке. Убирать производственную территорию от ВОП...","Пунктуальность. Желание работать и зарабатывать.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69851156&hhtmFrom=vacancy_search_list"
"Инженер по эксплуатации зданий и сооружений","https://ekaterinburg.hh.ru/vacancy/70078319?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Отвечать за безаварийную работу и ремонт зданий и сооружений цеха водоснабжения для обеспечения выполнения графиков ремонтов зданий и сооружений в...","Высшее техническое образование, ПГС. Опыт организации ремонтов зданий и сооружений, строительства, не менее 3 лет. Уверенный пользователь (Word, Excel, PowerPoint...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70078319&hhtmFrom=vacancy_search_list"
"Главный специалист по надежности ""Проектный офис ТОиР""","https://ekaterinburg.hh.ru/vacancy/70076766?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Диагностика текущего статуса внедрения процессов управления надежностью, выявление проблемных областей и выработка корректирующих мероприятий. Совершенствование организационной структуры ремонтных подразделений и...","Готовность к релокации в г.Липецк. Готовность к командировкам. Высшее техническое образование. Опыт работы в должности специалиста/руководителя выделенной службы по...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70076766&hhtmFrom=vacancy_search_list"
"Начальник отдела по операционной эффективности горно-транспортного передела","https://ekaterinburg.hh.ru/vacancy/69780388?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Старый Оскол","Развитие инструментов ПС (расширение охвата и адаптация методологии в условия ГТП). Анализ и расшивка узких мест, поиск резервов.","Высшее техническое/экономическое/горное образование. Опыт работы на промышленных предприятиях в части реализации проектов по повышению эффективности не менее 2...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69780388&hhtmFrom=vacancy_search_list"
"Менеджер по продажам металлопроката","https://ekaterinburg.hh.ru/vacancy/69529824?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Выполнять план продаж на вверенной территории и зарабатывать достойные деньги. Мы много и активно общаемся с клиентами по телефону и...","Успешный опыт в b2b-продажах (строительный сегмент, промышленное производство, металло-трейдинг) от 3 лет. Владение навыками результативных переговоров...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69529824&hhtmFrom=vacancy_search_list"
"Автор/редактор","https://ekaterinburg.hh.ru/vacancy/69421764?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Разработка контент-плана. Подготовка контента для внутренних коммуникаций (корпоративный портал, газета, журнал, НЛМК-ТВ). Подготовка контента (тексты, фото, сюжеты, инфографика...","Опыт работы в СМИ или корпоративной пресс-службе от 2 лет. Высшее профессиональное образовании в области журналистики или филологии.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69421764&hhtmFrom=vacancy_search_list"
"Главный специалист по планированию (ТОиР)","https://ekaterinburg.hh.ru/vacancy/69787962?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Реализация мероприятий в проектах, направленных на повышение уровня зрелости процессов управления ремонтами, автоматизацию ремонтной деятельности, внедрению принципов управления надежностью и...","Высшее техническое образование. Опыт работы в сфере планирования работ ТОиР в крупных производственных компаниях не менее 3-х лет.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69787962&hhtmFrom=vacancy_search_list"
"Инженер АСУ ТП","https://ekaterinburg.hh.ru/vacancy/69804972?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Обеспечение готовности инфраструктуры систем управления технологическими процессами (VMware vSphere, WindowsServer, Linux, Oracle, Kafka). Администрирование и техническое обеспечение средств защиты информации...","Опыт на аналогичной должности от 1года. Высшее образование. VMware vSphere, WindowsServer, Linux, Oracle, Kafka. CiscoASA, One Identity, KICS, vGate...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69804972&hhtmFrom=vacancy_search_list"
"Специалист по промышленной безопасности","https://ekaterinburg.hh.ru/vacancy/69727330?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Данков","Разработка/адаптация и внедрение корпоративных стандартов в области промышленной безопасности на уровне предприятия. Осуществление производственного контроля за подъемными сооружениями, техническими...","Высшее профессиональное горнотехническое образование, Открытые горные работы. Профессиональная переподготовка по направлению ""Техносферная безопасность"" (будет являться преимуществом). Стаж работы на опасном...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69727330&hhtmFrom=vacancy_search_list"
"Специалист по управлению прогнозыми заказами","https://ekaterinburg.hh.ru/vacancy/70106433?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Анализ и формирование сортамента проиводственных заказов в соответсвтии с различными стратегиями продаж. Ежедневный контроль построения цепочки производства по прогнозному заказу...","Высшее образование (специальность: прикладная математика, менеджмент, экономика металлургии). Экспертный уровень пользования MS Excel. Опыт работы с большими массивами данных (SQL...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70106433&hhtmFrom=vacancy_search_list"
"Data Scientist","https://ekaterinburg.hh.ru/vacancy/69884296?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Создание сложных статистических моделей. Поиск закономерностей в данных. Проверка валидности результатов тестов и гипотез. Генерация и поиск новых идей для...","Высшее образование в области математики или физики. Опыт работы в Data Scienct/ ML от 2-х лет. Глубокие знания математического...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69884296&hhtmFrom=vacancy_search_list"
"Слесарь по ремонту металлургического оборудования","https://ekaterinburg.hh.ru/vacancy/69624046?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Дегтярск","Ремонтировать металлургическое оборудование, агрегаты и машины. Пользоваться контрольно-измерительными инструментами, делать разметку и обрабатывать электроинструментом различные детали. Собирать, испытывать и...","Среднее/начальное профессиональное образование, либо опыт работы по профессии, подтвержденный записью в трудовой книжке.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69624046&hhtmFrom=vacancy_search_list"
"Мастер (энергетик)","https://ekaterinburg.hh.ru/vacancy/69727220?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Данков","Организовывает проведение ТО и Р и участвует в устранении последствий неплановых простоев оборудования, ведет работы по расследованию, анализу и учету...","На должность назначается лицо, имеющее высшее профессиональное (техническое) образование и стаж работы по специальности на руководящих должностях не менее 3...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69727220&hhtmFrom=vacancy_search_list"
"Водитель автомобиля (КМУ)","https://ekaterinburg.hh.ru/vacancy/70021084?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Реж","Осуществление погрузки, транспортировки металлолома. Работа на автомобиле КАМАЗ с КМУ. Работа по Режевскому, Артемовскому, Алапаевскому району.","Опыт работы: от 2х лет на КАМАЗ с КМУ. Наличие водительского удостоверения категории «С». Опыт работы от двух лет.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70021084&hhtmFrom=vacancy_search_list"
"Термист проката и труб (Екатеринбург ВИЗ-Сталь)","https://ekaterinburg.hh.ru/vacancy/70409482?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","ведение технологического процесса высокотемпературного отжига металла. - подготовка, распаковка загрузка и разгрузка печи. - проверка герметичности, проверка состояния различных систем печи.","Знание процесса термической обработки металлов. Опыт работы в металлургии. Среднее профессиональное образование в сфере металлургии. Специальность по образованию: металловедение и...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70409482&hhtmFrom=vacancy_search_list"
"Машинист экскаватора","https://ekaterinburg.hh.ru/vacancy/69737251?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Новоалтайск","Погрузка металлолома на производственной площадке Вторчермет.","Опыт работы. Наличие удостоверения.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69737251&hhtmFrom=vacancy_search_list"
"Главный агроном","https://ekaterinburg.hh.ru/vacancy/69831462?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Санкт-Петербург","Руководство организационно-технической растениеводческой деятельностью предприятия. Предоставление оперативных сведений генеральному директору о производственной деятельности подчиненных участков и служб.","Высшее профессиональное (Агрономическое) образование. Опыт работы на роли Главного агронома от 3-ех лет. Опыт заготовки кормов для КРС.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69831462&hhtmFrom=vacancy_search_list"
"Инженер по EBSD","https://ekaterinburg.hh.ru/vacancy/68900177?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Подготовка образцов к дифракционному анализу, в том числе нестандартным исследованиям с использованием пробоподготовительного оборудования (подготовка проб для EBSD включая полировальные...","ГОТОВНОСТЬ К ПЕРЕЕЗДУ В Г. ЛИПЕЦК. Высшее образование по специальности ""Металловедение и термическая обработка металлов"". Знания процесса проведения исследовательских работ.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68900177&hhtmFrom=vacancy_search_list"
"Машинист экскаватора-тракторист (Рязань)","https://ekaterinburg.hh.ru/vacancy/69535162?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Рязань","Работа на погрузчике с грейферным захватом. Погрузка и выгрузка металлолома (из автотранспорта; в ж/д вагоны).","Наличие водительского удостоверения машиниста-тракториста кат D (машинист погрузчика). Опыт работы на грейферных погрузчиках.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69535162&hhtmFrom=vacancy_search_list"
"Электрогазосварщик","https://ekaterinburg.hh.ru/vacancy/70402948?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Брянск","Осуществление сварочных работ.","Удостоверение электрогазосварщика. Опыт работы от 3 лет.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70402948&hhtmFrom=vacancy_search_list"
"Руководитель проектов технического развития продаж","https://ekaterinburg.hh.ru/vacancy/69349809?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва, Полянка и еще 2","Техническое развитие продаж в отрасли «Производство трансформаторов». Проработка идей по новым/улучшенным продуктам и сервису, подготовка ответов клиентам и формирование...","Высшее техническое образование. Опыт технического сопровождения продаж (металлургия, тяжелая промышленность). Опыт успешной реализации проектов. Развитые навыки ведения переговоров.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69349809&hhtmFrom=vacancy_search_list"
"Водитель автомобиля категории ""С""","https://ekaterinburg.hh.ru/vacancy/69572708?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Управление бортовым автомобилем КАМАЗ 5511. Перевозка технологического грунта, лома, бытовых отходов, перевозка ТМЦ, инструмента и оборудования, работа по заявкам смежных...","Наличие водительских прав категории С. Знание устройства автомобилей, приветствуется опыт работы с самосвальной установкой. Желательно наличие личной карты водителя (с...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69572708&hhtmFrom=vacancy_search_list"
"Начальник участка по ремонту дробильно-сортировочного оборудования","https://ekaterinburg.hh.ru/vacancy/69410970?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Организация работы участка по ремонту оборудования. Организация и обеспечение межремонтного обслуживания оборудования. Проведение систематического надзора за эксплуатацией и состоянием оборудования...","Высшее техническое образование. Знание дробильного и конвейерного оборудование (будет преимуществом). Знание допусков и посадок, работа измерительным инструментом, умение читать чертежи...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69410970&hhtmFrom=vacancy_search_list"
"Специалист по закупкам","https://ekaterinburg.hh.ru/vacancy/69737145?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Новосибирск","Поиск и привлечение поставщиков лома, ведение переговоров, участие в тендерах (выезды к клиентам, рассылка коммерческих предложений, согласование цен, мониторинг конкурентов). -","Высшее или средне-специальное образование. Высокие коммуникативные навыки (ведения переговоров). Способность к обучению, желание к саморазвитию. Желательно опыт работы в...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69737145&hhtmFrom=vacancy_search_list"
"Ведущий системный аналитик в рамках проекта «Электронный наряд-допуск 2.0»","https://ekaterinburg.hh.ru/vacancy/70468531?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Участие в проекте в роли ведущего системного аналитика. Системный анализ в рамках своей функциональной зоны. Поддержание в актуальном состоянии документации...","Опыт в системном анализе от 3 лет. Опыт проектирования реляционных баз данных. Опыт работы в проектах интеграции информационных систем.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70468531&hhtmFrom=vacancy_search_list"
"Электрогазосварщик","https://ekaterinburg.hh.ru/vacancy/70402949?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Мытищи","Осуществление сварочных работ.","Удостоверение электрогазосварщика. Опыт работы от 3 лет.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70402949&hhtmFrom=vacancy_search_list"
"Слесарь-ремонтник (по ремонту ГПМ) ЦРМО, г. Березовский","https://ekaterinburg.hh.ru/vacancy/69810540?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Березовский (Свердловская область)","Проводить осмотр и диагностику технического состояния грузоподъемных кранов и съемных грузозахватных приспособлений. Проводить техническое освидетельствование грузоподъемных кранов. Проводить работы по...","Среднее профессиональное образование. Наличие удостоверения (аттестации) слесаря по ремонту грузоподъемных механизмов. Опыт работы от года в аналогичной должности.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69810540&hhtmFrom=vacancy_search_list"
"Электромонтер по ремонту и обслуживанию электрооборудования","https://ekaterinburg.hh.ru/vacancy/66984030?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Заринск","схемы телеуправления и автоматического регулирования и способы их наладки. - устройство и конструкцию сложных реле и приборов электронной системы. -","При выполнении работ необходимо знать и применять: - конструкцию, электрические схемы, способы и правила проверки на точность различных электрических машин, электроаппаратов...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=66984030&hhtmFrom=vacancy_search_list"
"Водитель автомобиля","https://ekaterinburg.hh.ru/vacancy/69323341?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Мытищи","Управление грузовым автомобилем МАЗ/КАМАЗ с КМУ.","Наличие прав категории С Е. Знание карт тахографа. Опыт работы не менее года.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69323341&hhtmFrom=vacancy_search_list"
"Руководитель направления по организационным изменениям (Change Manager Team Lead)","https://ekaterinburg.hh.ru/vacancy/69864332?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Обеспечение развитие направление управления изменениями и обеспечение эффективной работы по управлению изменениями в ключевых проектах или рамках портфеля ИТ проектов.","Опыт руководства командой по управлению изменениями в крупных ИТ проектах от 3-х лет. Опыт развития направления и разработки стратегии...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69864332&hhtmFrom=vacancy_search_list"
"Слесарь-ремонтник","https://ekaterinburg.hh.ru/vacancy/69881823?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Благовещенск (Республика Башкортостан)","Выполнение ремонтных работ, в том числе сборка, разборка и тестирование механизмов и узлов. Наладка, регулирование, ремонт, демонтаж и монтаж агрегатов...","Должен владеть знаниями: Об устройстве, регулировании ремонтируемых машин, агрегатов и оборудования. О возможных способах устранения дефектов и поломок в процессе...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69881823&hhtmFrom=vacancy_search_list"
"Руководитель направления по проектированию","https://ekaterinburg.hh.ru/vacancy/69466691?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Участие в процессе разработки и согласования предпроектных материалов в соответствии с нормативными документами ПАО «НЛМК». Участие в рабочих группах по...","Высшее профильное образование. Опыт работы от 5 лет на должности Руководителя проектного института/бюро, Директора производства в инжиниринговых компаниях /проектных...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69466691&hhtmFrom=vacancy_search_list"
"Senior JavaScript Developer (React)","https://ekaterinburg.hh.ru/vacancy/70348719?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Выполнение работ по проекту «Электронный наряд-допуск». Разработка front-end приложения. Взаимодействие с бизнес заказчиками, аналитиками, тестировщиками. Определение квалификации ресурсов...","Опыт работы не менее 3 -х лет в данном направлении, желательно (но не обязательно) 6 последних месяцев работы на React.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70348719&hhtmFrom=vacancy_search_list"
"Слесарь по ремонту металлургического оборудования","https://ekaterinburg.hh.ru/vacancy/69624045?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Ревда (Свердловская область)","Ремонтировать металлургическое оборудование, агрегаты и машины. Пользоваться контрольно-измерительными инструментами, делать разметку и обрабатывать электроинструментом различные детали. Собирать, испытывать и...","Среднее/начальное профессиональное образование, либо опыт работы по профессии, подтвержденный записью в трудовой книжке.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69624045&hhtmFrom=vacancy_search_list"
"Developer WebSoft","https://ekaterinburg.hh.ru/vacancy/69807862?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Санкт-Петербург","Анализ требований и проектирование решений по доработке Websoft. Выполнение заданий на разработку Websoft. Оформление документации (спецификаций). Проведение тестирований.","Опыт работы в качестве разработчика не менее 1 года. Понимание микросервисной архитектуры. Курсы разработчиков Websoft (желательно). Подтвержденный опыт выполнения разработок...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69807862&hhtmFrom=vacancy_search_list"
"Product owner","https://ekaterinburg.hh.ru/vacancy/69884150?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Запуск MVP (это новый проект НЛМК, его нет в общем доступе) в октябре 2022. Сейчас делает CPO с командой, нужно...","Наличие кейсов с цифрами, которые кандидат готов презентовать. Опыт работы с продуктами в b2b с серьезными изменениями процессов...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69884150&hhtmFrom=vacancy_search_list"
"Главный специалист (технологическое оборудование)","https://ekaterinburg.hh.ru/vacancy/70387245?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Заринск","Выполнение мероприятий по контролю за соответствием выполняемых ремонтных работ проектной документации и разработанной на ее основе рабочей документации результатам инженерных...","Высшее профильное образование (строительство и эксплуатация коксохимического оборудования). Опыт работы по специальности не менее 3 лет. - Высокие стандарты безопасности труда...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70387245&hhtmFrom=vacancy_search_list"
"Машинист-крана (крановщик)","https://ekaterinburg.hh.ru/vacancy/69600186?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Богданович","Погрузка– разгрузка автотранспорта, погрузка вагонов, сортировка лома.","ОПЫТ: от 1 года (рассмотрим с малым опытом). Наличие удостоверения.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69600186&hhtmFrom=vacancy_search_list"
"Помощник машиниста тепловоза","https://ekaterinburg.hh.ru/vacancy/68395201?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Заринск","Профильное техническое образование. - Наличие удостоверения составителя поездов (желательно). - Высокие стандарты безопасности труда и культуры производства.",,"https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68395201&hhtmFrom=vacancy_search_list"
"Начальник отдела механического оборудования","https://ekaterinburg.hh.ru/vacancy/70034781?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Самара, Кировская","Формировать и контролировать исполнение графиков ППР (годовых, месячных, линейных) для ГПМ, ЛПО и механического оборудования. Организовывать и контролировать исполнение ремонтов...","Опыт работы на инженерно-технических должностях аналогичный от 3 лет. Высшее техническое образование. Уверенный пользователь ПК. Знания программ 1с...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70034781&hhtmFrom=vacancy_search_list"
"Главный специалист по операционной эффективности","https://ekaterinburg.hh.ru/vacancy/68789554?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Москва","Диагностика и мониторинг процессного поля компании, непрерывная оптимизация и улучшение бизнес-процессов с целью повышения эффективности управления. Разработка и оптимизация...","Высшее профессиональное образование – инженерное /экономическое/математическое/менеджмент. Опыт работы в качестве лидера проектов (операционная эффективность) в проектных и строительных компаниях...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68789554&hhtmFrom=vacancy_search_list"
"Главный специалист по информационным технологиям","https://ekaterinburg.hh.ru/vacancy/69783868?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Новосибирск","Поддержание работоспособности и обслуживание ИТ систем на ферме и в офисе. ИТ обеспечение производственного процесса Молочных ферм и офиса.","Исполнительность, коммуникабельность, желание работать в команде и развиваться. Знание компьютерного железа, периферийного оборудования и оргтехники на уровне эксперта.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69783868&hhtmFrom=vacancy_search_list"
